Timestep,Rate,Storm,Unit
"01 Jan 2024, 00:00",0,50,Inches per 15 Minutes
"01 Jan 2024, 00:15",0.01023,50,Inches per 15 Minutes
"01 Jan 2024, 00:30",0.01039,50,Inches per 15 Minutes
"01 Jan 2024, 00:45",0.01056,50,Inches per 15 Minutes
"01 Jan 2024, 01:00",0.01074,50,Inches per 15 Minutes
"01 Jan 2024, 01:15",0.01092,50,Inches per 15 Minutes
"01 Jan 2024, 01:30",0.01111,50,Inches per 15 Minutes
"01 Jan 2024, 01:45",0.01131,50,Inches per 15 Minutes
"01 Jan 2024, 02:00",0.01152,50,Inches per 15 Minutes
"01 Jan 2024, 02:15",0.01174,50,Inches per 15 Minutes
"01 Jan 2024, 02:30",0.01197,50,Inches per 15 Minutes
"01 Jan 2024, 02:45",0.0122,50,Inches per 15 Minutes
"01 Jan 2024, 03:00",0.01245,50,Inches per 15 Minutes
"01 Jan 2024, 03:15",0.01271,50,Inches per 15 Minutes
"01 Jan 2024, 03:30",0.01299,50,Inches per 15 Minutes
"01 Jan 2024, 03:45",0.01328,50,Inches per 15 Minutes
"01 Jan 2024, 04:00",0.01358,50,Inches per 15 Minutes
"01 Jan 2024, 04:15",0.0139,50,Inches per 15 Minutes
"01 Jan 2024, 04:30",0.01424,50,Inches per 15 Minutes
"01 Jan 2024, 04:45",0.0146,50,Inches per 15 Minutes
"01 Jan 2024, 05:00",0.01498,50,Inches per 15 Minutes
"01 Jan 2024, 05:15",0.01538,50,Inches per 15 Minutes
"01 Jan 2024, 05:30",0.01581,50,Inches per 15 Minutes
"01 Jan 2024, 05:45",0.01627,50,Inches per 15 Minutes
"01 Jan 2024, 06:00",0.01677,50,Inches per 15 Minutes
"01 Jan 2024, 06:15",0.01921,50,Inches per 15 Minutes
"01 Jan 2024, 06:30",0.01982,50,Inches per 15 Minutes
"01 Jan 2024, 06:45",0.02047,50,Inches per 15 Minutes
"01 Jan 2024, 07:00",0.02119,50,Inches per 15 Minutes
"01 Jan 2024, 07:15",0.02196,50,Inches per 15 Minutes
"01 Jan 2024, 07:30",0.0228,50,Inches per 15 Minutes
"01 Jan 2024, 07:45",0.02372,50,Inches per 15 Minutes
"01 Jan 2024, 08:00",0.02474,50,Inches per 15 Minutes
"01 Jan 2024, 08:15",0.02587,50,Inches per 15 Minutes
"01 Jan 2024, 08:30",0.02713,50,Inches per 15 Minutes
"01 Jan 2024, 08:45",0.02855,50,Inches per 15 Minutes
"01 Jan 2024, 09:00",0.03015,50,Inches per 15 Minutes
"01 Jan 2024, 09:15",0.03248,50,Inches per 15 Minutes
"01 Jan 2024, 09:30",0.03463,50,Inches per 15 Minutes
"01 Jan 2024, 09:45",0.03715,50,Inches per 15 Minutes
"01 Jan 2024, 10:00",0.04017,50,Inches per 15 Minutes
"01 Jan 2024, 10:15",0.04384,50,Inches per 15 Minutes
"01 Jan 2024, 10:30",0.04843,50,Inches per 15 Minutes
"01 Jan 2024, 10:45",0.05839,50,Inches per 15 Minutes
"01 Jan 2024, 11:00",0.06675,50,Inches per 15 Minutes
"01 Jan 2024, 11:15",0.08909,50,Inches per 15 Minutes
"01 Jan 2024, 11:30",0.10938,50,Inches per 15 Minutes
"01 Jan 2024, 11:45",0.21759,50,Inches per 15 Minutes
"01 Jan 2024, 12:00",0.29956,50,Inches per 15 Minutes
"01 Jan 2024, 12:15",0.80809,50,Inches per 15 Minutes
"01 Jan 2024, 12:30",0.25684,50,Inches per 15 Minutes
"01 Jan 2024, 12:45",0.12495,50,Inches per 15 Minutes
"01 Jan 2024, 13:00",0.09793,50,Inches per 15 Minutes
"01 Jan 2024, 13:15",0.07216,50,Inches per 15 Minutes
"01 Jan 2024, 13:30",0.06223,50,Inches per 15 Minutes
"01 Jan 2024, 13:45",0.0512,50,Inches per 15 Minutes
"01 Jan 2024, 14:00",0.046,50,Inches per 15 Minutes
"01 Jan 2024, 14:15",0.04191,50,Inches per 15 Minutes
"01 Jan 2024, 14:30",0.03859,50,Inches per 15 Minutes
"01 Jan 2024, 14:45",0.03584,50,Inches per 15 Minutes
"01 Jan 2024, 15:00",0.03351,50,Inches per 15 Minutes
"01 Jan 2024, 15:15",0.03104,50,Inches per 15 Minutes
"01 Jan 2024, 15:30",0.02932,50,Inches per 15 Minutes
"01 Jan 2024, 15:45",0.02782,50,Inches per 15 Minutes
"01 Jan 2024, 16:00",0.02648,50,Inches per 15 Minutes
"01 Jan 2024, 16:15",0.02529,50,Inches per 15 Minutes
"01 Jan 2024, 16:30",0.02422,50,Inches per 15 Minutes
"01 Jan 2024, 16:45",0.02325,50,Inches per 15 Minutes
"01 Jan 2024, 17:00",0.02237,50,Inches per 15 Minutes
"01 Jan 2024, 17:15",0.02156,50,Inches per 15 Minutes
"01 Jan 2024, 17:30",0.02082,50,Inches per 15 Minutes
"01 Jan 2024, 17:45",0.02014,50,Inches per 15 Minutes
"01 Jan 2024, 18:00",0.01951,50,Inches per 15 Minutes
"01 Jan 2024, 18:15",0.01702,50,Inches per 15 Minutes
"01 Jan 2024, 18:30",0.01652,50,Inches per 15 Minutes
"01 Jan 2024, 18:45",0.01604,50,Inches per 15 Minutes
"01 Jan 2024, 19:00",0.01559,50,Inches per 15 Minutes
"01 Jan 2024, 19:15",0.01518,50,Inches per 15 Minutes
"01 Jan 2024, 19:30",0.01479,50,Inches per 15 Minutes
"01 Jan 2024, 19:45",0.01442,50,Inches per 15 Minutes
"01 Jan 2024, 20:00",0.01407,50,Inches per 15 Minutes
"01 Jan 2024, 20:15",0.01374,50,Inches per 15 Minutes
"01 Jan 2024, 20:30",0.01343,50,Inches per 15 Minutes
"01 Jan 2024, 20:45",0.01313,50,Inches per 15 Minutes
"01 Jan 2024, 21:00",0.01285,50,Inches per 15 Minutes
"01 Jan 2024, 21:15",0.01258,50,Inches per 15 Minutes
"01 Jan 2024, 21:30",0.01233,50,Inches per 15 Minutes
"01 Jan 2024, 21:45",0.01208,50,Inches per 15 Minutes
"01 Jan 2024, 22:00",0.01185,50,Inches per 15 Minutes
"01 Jan 2024, 22:15",0.01163,50,Inches per 15 Minutes
"01 Jan 2024, 22:30",0.01142,50,Inches per 15 Minutes
"01 Jan 2024, 22:45",0.01121,50,Inches per 15 Minutes
"01 Jan 2024, 23:00",0.01102,50,Inches per 15 Minutes
"01 Jan 2024, 23:15",0.01083,50,Inches per 15 Minutes
"01 Jan 2024, 23:30",0.01065,50,Inches per 15 Minutes
"01 Jan 2024, 23:45",0.01047,50,Inches per 15 Minutes
"02 Jan 2024, 00:00",0.01031,50,Inches per 15 Minutes
"01 Jan 2024, 00:00",0,100,Inches per 15 Minutes
"01 Jan 2024, 00:15",0.01147,100,Inches per 15 Minutes
"01 Jan 2024, 00:30",0.01166,100,Inches per 15 Minutes
"01 Jan 2024, 00:45",0.01185,100,Inches per 15 Minutes
"01 Jan 2024, 01:00",0.01204,100,Inches per 15 Minutes
"01 Jan 2024, 01:15",0.01225,100,Inches per 15 Minutes
"01 Jan 2024, 01:30",0.01246,100,Inches per 15 Minutes
"01 Jan 2024, 01:45",0.01269,100,Inches per 15 Minutes
"01 Jan 2024, 02:00",0.01292,100,Inches per 15 Minutes
"01 Jan 2024, 02:15",0.01316,100,Inches per 15 Minutes
"01 Jan 2024, 02:30",0.01341,100,Inches per 15 Minutes
"01 Jan 2024, 02:45",0.01368,100,Inches per 15 Minutes
"01 Jan 2024, 03:00",0.01395,100,Inches per 15 Minutes
"01 Jan 2024, 03:15",0.01424,100,Inches per 15 Minutes
"01 Jan 2024, 03:30",0.01455,100,Inches per 15 Minutes
"01 Jan 2024, 03:45",0.01487,100,Inches per 15 Minutes
"01 Jan 2024, 04:00",0.01521,100,Inches per 15 Minutes
"01 Jan 2024, 04:15",0.01557,100,Inches per 15 Minutes
"01 Jan 2024, 04:30",0.01594,100,Inches per 15 Minutes
"01 Jan 2024, 04:45",0.01634,100,Inches per 15 Minutes
"01 Jan 2024, 05:00",0.01676,100,Inches per 15 Minutes
"01 Jan 2024, 05:15",0.01721,100,Inches per 15 Minutes
"01 Jan 2024, 05:30",0.01769,100,Inches per 15 Minutes
"01 Jan 2024, 05:45",0.0182,100,Inches per 15 Minutes
"01 Jan 2024, 06:00",0.01875,100,Inches per 15 Minutes
"01 Jan 2024, 06:15",0.02149,100,Inches per 15 Minutes
"01 Jan 2024, 06:30",0.02217,100,Inches per 15 Minutes
"01 Jan 2024, 06:45",0.02289,100,Inches per 15 Minutes
"01 Jan 2024, 07:00",0.02368,100,Inches per 15 Minutes
"01 Jan 2024, 07:15",0.02454,100,Inches per 15 Minutes
"01 Jan 2024, 07:30",0.02547,100,Inches per 15 Minutes
"01 Jan 2024, 07:45",0.0265,100,Inches per 15 Minutes
"01 Jan 2024, 08:00",0.02762,100,Inches per 15 Minutes
