,Structure,Weir,Path_Full,Path_Base,StrucType,FlowIndex,HWIndex,TWIndex,AllIndex,Unnamed: 9,base_Max_Flow,base_Max_HW_WSE,base_Max HW WSE Timestep (99%),base_Max_TW_WSE,base_Start_Time,base_Time_Diff,full_Max_Flow,full_Max_HW_WSE,full_Max HW WSE Timestep (99%),full_Max_TW_WSE,full_Start_Time,full_Time_Diff
0,00035,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,weir,0,2,3,23,,7.263635,444.92572,2023-04-01 03:25:00,443.22305,2023-04-01,0 days 03:25:00,173.17982,446.79614,2023-04-01 06:55:00,445.0883,2023-04-01,0 days 06:55:00
1,00036,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,12,,6.166391,462.96097,2023-04-01 02:00:00,462.9303,2023-04-01,0 days 02:00:00,264.7977,467.47443,2023-04-01 04:15:00,467.23352,2023-04-01,0 days 04:15:00
2,00037,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,12,,5.442669,477.90247,2023-04-01 01:10:00,477.8544,2023-04-01,0 days 01:10:00,272.40652,482.17938,2023-04-01 04:40:00,482.02484,2023-04-01,0 days 04:40:00
3,00038,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,12,,5.4742336,483.22144,2023-04-01 02:40:00,483.14447,2023-04-01,0 days 02:40:00,255.34552,486.6915,2023-04-01 02:25:00,486.6469,2023-04-01,0 days 02:25:00
4,00039,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,12,,6.964931,483.9075,2023-04-01 15:30:00,483.82376,2023-04-01,0 days 15:30:00,231.5858,487.88626,2023-04-01 02:05:00,487.71466,2023-04-01,0 days 02:05:00
5,00040,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,weir,0,2,3,23,,46.49932,486.05997,2023-04-01 11:50:00,485.93695,2023-04-01,0 days 11:50:00,141.36618,488.77692,2023-04-01 05:45:00,488.67142,2023-04-01,0 days 05:45:00
6,00041,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,weir,0,2,3,23,,0.0,485.19095,2023-04-01 00:00:00,486.0803,2023-04-01,0 days 00:00:00,194.6507,489.35782,2023-04-01 02:20:00,488.92285,2023-04-01,0 days 02:20:00
7,00042,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,12,,0.0,489.2863,2023-04-01 00:00:00,489.15625,2023-04-01,0 days 00:00:00,238.89589,492.71884,2023-04-01 01:05:00,491.89453,2023-04-01,0 days 01:05:00
8,00048,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,12,,6.3557277,463.4008,2023-04-01 00:05:00,463.16827,2023-04-01,0 days 00:05:00,271.05634,465.8098,2023-04-01 03:45:00,465.72528,2023-04-01,0 days 03:45:00
9,00049,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,23,,7.9283013,0.0,2023-04-01 00:00:00,421.34036,2023-04-01,0 days 00:00:00,274.435,0.0,2023-04-01 00:00:00,425.0601,2023-04-01,0 days 00:00:00
10,00050,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,23,,8.421959,0.0,2023-04-01 00:00:00,393.38577,2023-04-01,0 days 00:00:00,274.39093,0.0,2023-04-01 00:00:00,396.84897,2023-04-01,0 days 00:00:00
11,00051,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,culvert,0,2,3,23,,8.507787,391.165,2023-04-01 04:20:00,390.87497,2023-04-01,0 days 04:20:00,282.16742,394.67523,2023-04-01 19:15:00,394.43604,2023-04-01,0 days 19:15:00
12,00052,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,culvert,0,2,3,23,,8.819023,381.055,2023-04-01 04:40:00,380.59943,2023-04-01,0 days 04:40:00,273.38638,384.35364,2023-04-01 09:10:00,383.6586,2023-04-01,0 days 09:10:00
13,00053,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,12,,8.773779,381.22183,2023-04-01 04:40:00,381.2022,2023-04-01,0 days 04:40:00,273.2774,384.89575,2023-04-01 09:10:00,384.87097,2023-04-01,0 days 09:10:00
14,00054,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,12,,9.006547,374.9183,2023-04-01 04:50:00,374.88483,2023-04-01,0 days 04:50:00,270.1492,378.38586,2023-04-01 19:35:00,377.9714,2023-04-01,0 days 19:35:00
15,00055,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,12,,9.462662,353.12622,2023-04-01 05:15:00,353.11368,2023-04-01,0 days 05:15:00,273.99008,357.51953,2023-04-01 10:20:00,357.41348,2023-04-01,0 days 10:20:00
16,00056,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,12,,9.643575,356.96945,2023-04-01 00:05:00,356.8792,2023-04-01,0 days 00:05:00,273.78073,369.29306,2023-04-01 00:15:00,367.19983,2023-04-01,0 days 00:15:00
17,00057,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,12,,9.476189,353.89462,2023-04-01 05:00:00,353.84784,2023-04-01,0 days 05:00:00,265.66217,358.15704,2023-04-01 18:35:00,358.02625,2023-04-01,0 days 18:35:00
18,00058,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,12,,10.034632,342.04803,2023-04-01 05:50:00,342.01428,2023-04-01,0 days 05:50:00,277.55954,346.98633,2023-04-01 22:10:00,346.83704,2023-04-01,0 days 22:10:00
19,00059,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,23,,15.994353,0.0,2023-04-01 00:00:00,258.01816,2023-04-01,0 days 00:00:00,288.32178,0.0,2023-04-01 00:00:00,261.51035,2023-04-01,0 days 00:00:00
20,00060,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,12,,12.006819,261.7996,2023-04-01 10:50:00,261.43347,2023-04-01,0 days 10:50:00,236.60583,265.00116,2023-04-01 14:55:00,264.40964,2023-04-01,0 days 14:55:00
21,00061,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,bridge,0,1,2,12,,12.00681,262.56256,2023-04-01 10:50:00,262.40683,2023-04-01,0 days 10:50:00,257.79968,265.93332,2023-04-01 15:00:00,265.6609,2023-04-01,0 days 15:00:00
22,00099,Spencerport,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p01.hdf,\\00-2810-007\Shared\2024_LLO_Models\Spencerport Waste Weir Dam\Spencerport_WW_LLO\Spencerport_WW_LLO.p02.hdf,culvert,0,2,3,23,,7.314639,440.3981,2023-04-01 03:30:00,440.04538,2023-04-01,0 days 03:30:00,173.19089,442.97903,2023-04-01 17:45:00,442.4423,2023-04-01,0 days 17:45:00
